번호,라이브러리명,버전,라이선스,공식 저장소 URL
41,fastuuid,0.14.0,BSD License,https://github.com/thusoy/fastuuid
42,filelock,3.32.2,MIT,https://github.com/tox-dev/py-filelock
43,Flask,3.1.3,BSD-3-Clause,https://github.com/pallets/flask
44,flask-cors,6.0.2,MIT,https://github.com/corydolphin/flask-cors
45,flatbuffers,25.12.19,Apache 2.0,https://github.com/google/flatbuffers
46,fonttools,4.62.1,MIT,https://github.com/fonttools/fonttools
47,frozenlist,1.8.0,Apache-2.0,https://github.com/aio-libs/frozenlist
48,fsspec,2026.7.0,BSD-3-Clause,https://github.com/fsspec/filesystem_spec
49,future,1.0.0,MIT,https://github.com/PythonCharmers/python-future
50,google-api-core,2.30.3,Apache 2.0,https://github.com/googleapis/python-api-core
51,google-genai,2.2.0,Apache-2.0,https://github.com/googleapis/python-genai
52,graphrag,3.1.1,MIT,https://github.com/microsoft/graphrag
53,graphrag-cache,3.1.1,MIT,https://github.com/microsoft/graphrag
54,graphrag-chunking,3.1.1,MIT,https://github.com/microsoft/graphrag
55,graphrag-common,3.1.1,MIT,https://github.com/microsoft/graphrag
56,graphrag-input,3.1.1,MIT,https://github.com/microsoft/graphrag
57,graphrag-llm,3.1.1,MIT,https://github.com/microsoft/graphrag
58,graphrag-storage,3.1.1,MIT,https://github.com/microsoft/graphrag
59,graphrag-vectors,3.1.1,MIT,https://github.com/microsoft/graphrag
60,lightrag-hku (LightRAG),"1.5.6 (git 24ee484, 2026-08-10)",MIT,https://github.com/HKUDS/LightRAG
61,graspologic-native,1.2.5,MIT,https://github.com/graspologic-org/graspologic-native
62,h11,0.16.0,MIT,https://github.com/python-hyper/h11
63,hf-xet,1.6.0,Apache Software License,https://github.com/huggingface/xet-core
64,httpcore,1.0.9,BSD License,https://github.com/encode/httpcore
65,httpx,0.28.1,BSD-3-Clause,https://github.com/encode/httpx
66,huggingface_hub,1.27.0,Apache-2.0,https://github.com/huggingface/huggingface_hub
67,humanfriendly,10,MIT,https://github.com/xolox/python-humanfriendly
68,idna,3.11,BSD-3-Clause,https://github.com/kjd/idna
69,importlib_metadata,8.9.0,Apache-2.0,https://github.com/python/importlib_metadata
70,isodate,0.7.2,BSD License,https://github.com/gweis/isodate
71,itsdangerous,2.2.0,BSD License,https://github.com/pallets/itsdangerous
